points/segment = 2000
x-axis,signal1,signal2
second,Volt,Volt
-6.80000E-03,+29.49800E-03,+3.30281058E+00
-6.75050E-03,+29.49800E-03,+3.30542565E+00
-6.70100E-03,+3.27834729E+00,+3.30542565E+00
-6.65150E-03,+3.28054395E+00,+3.30542565E+00
-6.60200E-03,+3.28054395E+00,+3.30301979E+00
-6.55250E-03,+3.28472805E+00,+3.30385661E+00
-6.50300E-03,+3.28472805E+00,+3.30678548E+00
-6.45350E-03,+3.28472805E+00,+3.30542565E+00
-6.40400E-03,+3.28472805E+00,+3.30542565E+00
-6.35450E-03,+3.28472805E+00,+3.30542565E+00
-6.30500E-03,+3.28891215E+00,+3.30176456E+00
-6.25550E-03,+3.28891215E+00,+3.30542565E+00
-6.20600E-03,+3.28891215E+00,+3.30134615E+00
-6.15650E-03,+3.28891215E+00,+3.30532104E+00
-6.10700E-03,+3.28891215E+00,+3.30542565E+00
-6.05750E-03,+3.28891215E+00,+3.30542565E+00
-6.00800E-03,+3.28891215E+00,+3.30542565E+00
-5.95850E-03,+3.28891215E+00,+3.30542565E+00
-5.90900E-03,+3.28891215E+00,+3.30542565E+00
-5.85950E-03,+3.28472805E+00,+3.30542565E+00
-5.81000E-03,+3.28891215E+00,+3.30542565E+00
-5.76050E-03,+3.28472805E+00,+3.30301979E+00
-5.71100E-03,+35.87876E-03,+3.30322899E+00
-5.66150E-03,+33.68211E-03,+3.30542565E+00
-5.61200E-03,+33.68211E-03,+3.30542565E+00
-5.56250E-03,+29.49800E-03,+3.30124155E+00
-5.51300E-03,+29.49800E-03,+3.30406581E+00
-5.46350E-03,+29.49800E-03,+3.30124155E+00
-5.41400E-03,+26.25533E-03,+3.30542565E+00
-5.36450E-03,+25.31390E-03,+3.30542565E+00
-5.31500E-03,+25.31390E-03,+3.30542565E+00
-5.26550E-03,+29.49800E-03,+3.30542565E+00
-5.21600E-03,+25.31390E-03,+3.30542565E+00
-5.16650E-03,+25.31390E-03,+3.30542565E+00
-5.11700E-03,+29.49800E-03,+3.30542565E+00
-5.06750E-03,+25.31390E-03,+3.30594866E+00
-5.01800E-03,+25.31390E-03,+3.30887753E+00
-4.96850E-03,+29.49800E-03,+3.30542565E+00
-4.91900E-03,+28.34738E-03,+3.30542565E+00
-4.86950E-03,+29.49800E-03,+3.30542565E+00
-4.82000E-03,+29.49800E-03,+3.30542565E+00
-4.77050E-03,+27.09215E-03,+3.30960975E+00
-4.72100E-03,+27.51056E-03,+3.30542565E+00
-4.67150E-03,+27.30135E-03,+3.30542565E+00
-4.62200E-03,+25.31390E-03,+3.30542565E+00
-4.57250E-03,+25.31390E-03,+3.30542565E+00
-4.52300E-03,+28.13817E-03,+3.30678548E+00
-4.47350E-03,+25.31390E-03,+3.30657627E+00
-4.42400E-03,+25.31390E-03,+3.30542565E+00
-4.37450E-03,+25.31390E-03,+3.30542565E+00
-4.32500E-03,+29.49800E-03,+3.30542565E+00
-4.27550E-03,+29.49800E-03,+3.30542565E+00
-4.22600E-03,+25.20930E-03,+3.30960975E+00
-4.17650E-03,+25.20930E-03,+3.30542565E+00
-4.12700E-03,+25.31390E-03,+3.30511184E+00
-4.07750E-03,+28.97499E-03,+3.30542565E+00
-4.02800E-03,+26.04612E-03,+3.30542565E+00
-3.97850E-03,+25.31390E-03,+3.30542565E+00
-3.92900E-03,+25.31390E-03,+3.30845912E+00
-3.87950E-03,+26.67374E-03,+3.30542565E+00
-3.83000E-03,+25.31390E-03,+3.30804071E+00
-3.78050E-03,+27.09215E-03,+3.30542565E+00
-3.73100E-03,+25.31390E-03,+3.30542565E+00
-3.68150E-03,+27.51056E-03,+3.30542565E+00
-3.63200E-03,+25.31390E-03,+3.30542565E+00
-3.58250E-03,+25.31390E-03,+3.30542565E+00
-3.53300E-03,+25.31390E-03,+3.30678548E+00
-3.48350E-03,+25.31390E-03,+3.30542565E+00
-3.43400E-03,+28.55658E-03,+3.30542565E+00
-3.38450E-03,+26.04612E-03,+3.30542565E+00
-3.33500E-03,+25.83692E-03,+3.30542565E+00
-3.28550E-03,+29.49800E-03,+3.30929594E+00
-3.23600E-03,+29.49800E-03,+3.30542565E+00
-3.18650E-03,+29.39340E-03,+3.30542565E+00
-3.13700E-03,+29.18420E-03,+3.30960975E+00
-3.08750E-03,+25.83692E-03,+3.30594866E+00
-3.03800E-03,+28.76579E-03,+3.30615786E+00
-2.98850E-03,+25.31390E-03,+3.30542565E+00
-2.93900E-03,+29.49800E-03,+3.30542565E+00
-2.88950E-03,+29.49800E-03,+3.30960975E+00
-2.84000E-03,+27.92897E-03,+3.30542565E+00
-2.79050E-03,+29.49800E-03,+3.30720389E+00
-2.74100E-03,+29.49800E-03,+3.30762230E+00
-2.69150E-03,+29.49800E-03,+3.30960975E+00
-2.64200E-03,+29.49800E-03,+3.30960975E+00
-2.59250E-03,+27.92897E-03,+3.30960975E+00
-2.54300E-03,+29.49800E-03,+3.30960975E+00
-2.49350E-03,+29.49800E-03,+3.30657627E+00
-2.44400E-03,+32.74068E-03,+3.30960975E+00
-2.39450E-03,+28.76579E-03,+3.30960975E+00
-2.34500E-03,+29.49800E-03,+3.30542565E+00
-2.29550E-03,+29.18420E-03,+3.30929594E+00
-2.24600E-03,+25.41851E-03,+3.30950514E+00
-2.19650E-03,+29.49800E-03,+3.30542565E+00
-2.14700E-03,+29.18420E-03,+3.30929594E+00
-2.09750E-03,+29.49800E-03,+3.30594866E+00
-2.04800E-03,+25.31390E-03,+3.30542565E+00
-1.99850E-03,+28.55658E-03,+3.30542565E+00
-1.94900E-03,+26.46453E-03,+3.30542565E+00
-1.89950E-03,+25.31390E-03,+3.30542565E+00
-1.85000E-03,+25.31390E-03,+3.30542565E+00
-1.80050E-03,+25.31390E-03,+3.30542565E+00
-1.75100E-03,+29.49800E-03,+3.30322899E+00
-1.70150E-03,+27.30135E-03,+3.30542565E+00
-1.65200E-03,+25.31390E-03,+3.30542565E+00
-1.60250E-03,+26.88294E-03,+3.30124155E+00
-1.55300E-03,+25.31390E-03,+3.30542565E+00
-1.50350E-03,+28.34738E-03,+3.30542565E+00
-1.45400E-03,+26.25533E-03,+3.30866832E+00
-1.40450E-03,+25.31390E-03,+3.30197376E+00
-1.35500E-03,+28.97499E-03,+3.30542565E+00
-1.30550E-03,+25.62771E-03,+3.30542565E+00
-1.25600E-03,+29.49800E-03,+3.30542565E+00
-1.20650E-03,+25.41851E-03,+3.30542565E+00
-1.15700E-03,+25.31390E-03,+3.30542565E+00
-1.10750E-03,+25.31390E-03,+3.30490263E+00
-1.05800E-03,+25.31390E-03,+3.30542565E+00
-1.00850E-03,+28.55658E-03,+3.30542565E+00
-959.00E-06,+29.49800E-03,+3.30657627E+00
-909.50E-06,+26.67374E-03,+3.30678548E+00
-860.00E-06,+29.49800E-03,+3.30699468E+00
-810.50E-06,+29.49800E-03,+3.30542565E+00
-761.00E-06,+25.31390E-03,+3.30542565E+00
-711.50E-06,+25.31390E-03,+3.30542565E+00
-662.00E-06,+25.31390E-03,+3.30124155E+00
-612.50E-06,+29.49800E-03,+3.30542565E+00
-563.00E-06,+26.67374E-03,+3.30542565E+00
-513.50E-06,+25.31390E-03,+3.30124155E+00
-464.00E-06,+26.25533E-03,+3.30542565E+00
-414.50E-06,+26.04612E-03,+3.30197376E+00
-365.00E-06,+25.31390E-03,+3.30490263E+00
-315.50E-06,+25.31390E-03,+3.30155535E+00
-266.00E-06,+25.31390E-03,+3.30124155E+00
-216.50E-06,+25.31390E-03,+3.30124155E+00
-167.00E-06,+21.44361E-03,+3.30155535E+00
-117.50E-06,+25.31390E-03,+3.30490263E+00
-68.00E-06,+25.31390E-03,+3.30469343E+00
-18.50E-06,+25.31390E-03,+3.30218297E+00
+31.00E-06,+25.31390E-03,+3.30124155E+00
+80.50E-06,+26.67374E-03,+3.30542565E+00
+130.00E-06,+26.88294E-03,+3.30124155E+00
+179.50E-06,+27.09215E-03,+3.30124155E+00
+229.00E-06,+27.30135E-03,+3.30322899E+00
+278.50E-06,+27.51056E-03,+3.30124155E+00
+328.00E-06,+27.71976E-03,+3.30364740E+00
+377.50E-06,+22.69884E-03,+3.30124155E+00
+427.00E-06,+25.31390E-03,+3.30124155E+00
+476.50E-06,+25.31390E-03,+3.30124155E+00
+526.00E-06,+25.31390E-03,+3.30218297E+00
+575.50E-06,+24.58169E-03,+3.30124155E+00
+625.00E-06,+24.79089E-03,+3.30490263E+00
+674.50E-06,+25.31390E-03,+3.30124155E+00
+724.00E-06,+25.31390E-03,+3.30542565E+00
+773.50E-06,+25.31390E-03,+3.30124155E+00
+823.00E-06,+25.31390E-03,+3.30155535E+00
+872.50E-06,+25.31390E-03,+3.30490263E+00
+922.00E-06,+21.86202E-03,+3.30469343E+00
+971.50E-06,+21.12980E-03,+3.30542565E+00
+1.02100E-03,+25.31390E-03,+3.30542565E+00
+1.07050E-03,+25.31390E-03,+3.30678548E+00
+1.12000E-03,+25.31390E-03,+3.30281058E+00
+1.16950E-03,+25.31390E-03,+3.30364740E+00
+1.21900E-03,+25.31390E-03,+3.30542565E+00
+1.26850E-03,+25.31390E-03,+3.30542565E+00
+1.31800E-03,+25.31390E-03,+3.30364740E+00
+1.36750E-03,+25.31390E-03,+3.30542565E+00
+1.41700E-03,+25.31390E-03,+3.30678548E+00
+1.46650E-03,+22.28043E-03,+3.30542565E+00
+1.51600E-03,+25.31390E-03,+3.30542565E+00
+1.56550E-03,+28.76579E-03,+3.30542565E+00
+1.61500E-03,+29.49800E-03,+3.30542565E+00
+1.66450E-03,+25.31390E-03,+3.30124155E+00
+1.71400E-03,+25.31390E-03,+3.30542565E+00
+1.76350E-03,+25.31390E-03,+3.30134615E+00
+1.81300E-03,+25.31390E-03,+3.30542565E+00
+1.86250E-03,+25.31390E-03,+3.30176456E+00
+1.91200E-03,+25.31390E-03,+3.30469343E+00
+1.96150E-03,+29.49800E-03,+3.30542565E+00
+2.01100E-03,+29.49800E-03,+3.30542565E+00
+2.06050E-03,+28.13817E-03,+3.30824991E+00
